dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2,groupByHyperparams
T1-T2-T3-T4_T5,trial_11,1.0,256.0,0.001,0.0,ReLU,Adam,Huber,2.3267037868499756,3.049437999725342,0.8725249171257019,1.0 - 256.0 - 0.001 - 0.0
T1-T2-T3_T4,trial_51,3.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.1628575325012207,3.0162713527679443,0.8630644083023071,3.0 - 512.0 - 1e-05 - 0.0
T1-T2_T3,trial_43,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,2.3367605209350586,3.2456793785095215,0.819924533367157,3.0 - 256.0 - 0.0001 - 1.0
T1_T2,trial_34,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.35595703125,3.269038677215576,0.7770817875862122,2.0 - 512.0 - 0.0001 - 0.0
T2-T3-T4_T5,trial_31,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.3132474422454834,3.0150623321533203,0.8730534315109253,2.0 - 512.0 - 0.0001 - 1.0
T2-T3_T4,trial_45,3.0,256.0,1e-05,0.0,ReLU,Adam,Huber,2.17931604385376,3.049180746078491,0.8617053627967834,3.0 - 256.0 - 1e-05 - 0.0
T2_T3,trial_10,1.0,256.0,0.0001,0.0,ReLU,Adam,Huber,2.3805668354034424,3.297881841659546,0.8150432705879211,1.0 - 256.0 - 0.0001 - 0.0
T3-T4_T5,trial_31,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.435117244720459,3.31709885597229,0.8538669943809509,2.0 - 512.0 - 0.0001 - 1.0
T3_T4,trial_12,1.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.271211862564087,3.0541141033172607,0.8667360544204712,1.0 - 512.0 - 1e-05 - 1.0
T4_T5,trial_43,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,2.499208927154541,3.3831546306610107,0.8562780618667603,3.0 - 256.0 - 0.0001 - 1.0
